Úroveň 1,Úroveň 2,Úroveň 3,Název (ČJ),Vysvětlení (ČJ),Příklady (ČJ),Term (EN),Explanation (EN),,,,,,,,,,
,,BRC,Senzor elektromagnetického vlnění,snímač záření pro neviditelné elektromagnetické vlnění s výstupem v booleovských hodnotách,senzor elektromagnetického vlnění,Electromagnetic wave sensor,"radiation sensing object for non-visible electromagnetic waves, with scalar output",,,,,,,,,,senzor elektromagnetického vlnění
,,BRD,Detektor elektromagnetického vlnění,snímač záření pro neviditelné elektromagentické vlnění s variabilním výstupem,"detektor rentgenového záření, detektor HF",Electromagnetic wave detector,"radiation sensing object for non-visible electromagnetic waves, with Boolean output",,,,,,,,,,detektor elektromagnetického vlnění
,,BRE,Senzor nukleárního záření,snímač záření pro nukleární částice s variabilním výstupem,"Geigerův počítač, měřič radiace, senzor radiace",Radiation counter,"radiation sensing object of nuclear particles, with scalar output",,,,,,,,,,senzor nukleárního záření
,,BRF,Detektor nukleárního záření,snímač záření pro nukleární částice s výstupem v booleovských hodnotách,detektor radiace,Radiation detector,"radiation sensing object of nuclear particles, with Boolean output",,,,,,,,,,detektor nukleárního záření
,BS?,,Snímač tempa,snímač určený k měření tempa,,Time-rating object,sensing object for time-rate,,,,,,,,,,snímač tempa
,,BSA,Detektor frekvence,snímač tempa pro neopakující se cykly s výstupem v booleovských hodnotách,detektor frekvence,Cycle rate transmitter,"time-rating object of non-rotational cycles, with scalar output",,,,,,,,,,detektor frekvence
,,BSB,Senzor frekvence,snímač tempa pro neopakující se cykly s variabilním výstupem,přístroj pro měření frekvence,Cycle rate detecting switch,"time-rating object of non-rotational cycles, with Boolean output",,,,,,,,,,senzor frekvence
,,BSC,Detektor rychlosti,snímač tempa pro vzdálenost s výstupem v booleovských hodnotách,detektor pohybu,Speed sensing transmitter,"time-rating object of distance, with scalar output",,,,,,,,,,detektor rychlosti
,,BSD,Senzor rychlosti,snímač tempa pro vzdálenost s výstupem ve skalárních hodnotách,"rychloměr, tachometr",Speed detecting switch,"time-rating object of distance, with Boolean output",,,,,,,,,,senzor rychlosti
,,BSE,Detektor rotace,snímač tempa pro rotaci s výstupem v booleovských hodnotách,detektor rotace,Tachometer,"time-rating object of rotation, with scalar output",,,,,,,,,,detektor rotace
,,BSF,Senzor rotace,snímač tempa pro rotaci s výstupem ve skalárních hodnotách,otáčkoměr,Rotation speed relay,"time-rating object of rotation, with Boolean output",,,,,,,,,,senzor rotace
,,BSG,Detektor vibrací,snímač tempa pro rychlost s výstupem v booleovských hodnotách,"detektor poškození kola, detektor prahové hodnoty zrychlení",Accelerometer transmitter,"time-rating object of speed, with scalar output",,,,,,,,,,detektor vibrací
,,BSH,Senzor vibrací,snímač tempa pro rychlost s výstupem ve skalárnich hodnotách,"senzor zrychlení, brzdový stav, seismický snímač",Accelerometer relay,"time-rating object of speed, with Boolean output",,,,,,,,,,senzor vibrací
,BT?,,Snímače teploty,snímač určený pro měření teploty,,Temperature sensing object,sensing object for temperature,,,,,,,,,,snímače teploty
,,BTA,Teplotní senzor,snímač teploty s výstupem ve skalárních hodnotách,"snímač venkovní teploty, teploměr, snímač teploty kolejnice",Temperature transmitter,"temperature sensing object, with scalar output",,,,,,,,,,teplotní senzor
,,BTB,Detektor teploty,snímač teploty s výstupem v booleovských hodnotách,"detektor tepla, detektor požáru",Temperature switch,"temperature sensing object, with Boolean output",,,,,,,,,,detektor teploty
,BU?,,Multifunkční snímače,snímač určený k měření několika veličin,,Multi-quantity sensing object,sensing object for multiple quantities,,,,,,,,,,multifunkční snímače
,,BUA,Víceúčelový senzor,multifunkční snímače s výstupy ve skalárních hodnotách,"multimetr, kombidetektor, dálkově řízenné ochranné prvky",Multi-sensor,"multi-quantity sensing object, with scalar output(s)",,,,,,,,,,víceúčelový senzor
,,BUB,Víceúčelový detektor,multifunkční snímače s výstupy v booleovských hodnotách,"buchholzovo relé, multidetektor",Multi-detector,"multi-quantity sensing object, with Boolean output(s)",,,,,,,,,,víceúčelový detektor
,BW?,,Snímače sil,"snímač určený k měření hmotnosti, síly nebo točivého momentu",,Force sensing object,"sensing object for weight, force or torque",,,,,,,,,,snímače sil
